student_id,class_number,total_score,standard_score,rank,chinese,rank_of_chinese,math,rank_of_math,english,rank_of_english,science_integrated,rank_of_science,physics,rank_of_physics,chemistry,rank_of_chemistry,biology,rank_of_biology,rating
12281124,28,653,616,1,104,46,150,1,128,7,271,7,110,1,89,32,72,43,A
12280441,28,647,611,2,107,15,139,11,119,70,282,1,106,8,95,3,81,3,A
12280419,28,646,603,3,101,101,138,15,126,13,281,2,108,4,93,7,80,4,A
12280818,28,645,609,4,107,15,148,2,126,13,264,11,102,17,76,312,86,1,A
12280243,28,644,603,5,105,35,141,8,126,13,272,6,106,8,86,76,80,4,A
12280540,28,643,606,6,99,157,147,3,123,32,274,5,110,1,91,19,73,30,A
12280221,28,636,592,7,103,62,131,60,123,32,279,3,101,18,95,3,83,2,A
12280144,28,630,591,8,109,7,135,26,123,32,263,12,108,4,87,63,68,92,A
12280738,28,628,592,9,107,15,136,22,116,102,269,9,110,1,91,19,68,92,A
12280518,28,627,591,10,98,199,137,17,114,133,278,4,108,4,93,7,77,8,A
12281102,28,620,579,11,105,35,131,60,133,2,251,29,92,50,86,76,73,30,A
12080205,8,615,581,12,98,199,136,22,130,4,251,29,88,77,88,44,75,18,A
12100207,10,613,574,13,114,1,129,78,128,7,242,53,92,50,88,44,62,222,A
12100328,10,611,589,14,101,101,146,4,117,90,247,39,90,64,86,76,71,54,A
12060105,6,611,579,14,104,46,130,68,122,39,255,20,98,25,86,76,71,54,A
12260120,26,611,583,14,102,83,135,26,108,234,266,10,104,11,86,76,76,12,A
12280840,28,609,575,17,99,157,128,85,112,164,270,8,108,4,92,14,70,66,A
12280320,28,609,576,17,99,157,131,60,127,10,252,26,98,25,89,32,65,151,A
12170112,17,609,580,17,97,238,135,26,121,47,256,18,104,11,83,131,69,80,A
12100130,10,605,571,20,104,46,125,128,126,13,250,33,86,112,90,28,74,23,A
12280920,28,605,564,20,98,199,120,193,135,1,252,26,87,101,88,44,77,8,A
12280942,28,602,574,22,101,101,131,60,123,32,247,39,99,20,86,76,62,222,A
12281204,28,601,572,23,101,101,132,50,131,3,237,71,82,160,91,19,64,173,A
12100108,10,601,580,23,99,157,139,11,120,58,243,50,98,25,77,277,68,92,A
12060226,6,599,572,25,107,15,128,85,108,234,256,18,98,25,85,92,73,30,A
12060127,6,597,574,26,91,549,141,8,108,234,257,17,88,77,94,5,75,18,A
12200115,20,595,568,27,100,131,126,112,118,77,251,29,84,133,91,19,76,12,A
12280342,28,594,567,28,99,157,121,181,114,133,260,13,99,20,88,44,73,30,A
12280122,28,593,563,29,98,199,119,209,123,32,253,23,99,20,97,1,57,370,A
12150110,15,593,568,29,101,101,129,78,128,7,235,76,88,77,79,230,68,92,A
12180135,18,592,568,31,97,238,132,50,120,58,243,50,88,77,85,92,70,66,A
12100906,10,592,573,31,114,1,137,17,113,150,228,118,78,235,86,76,64,173,A
12080326,8,592,570,31,106,24,130,68,108,234,248,36,97,32,96,2,55,443,A
12250416,25,592,573,31,98,199,136,22,99,468,259,14,104,11,83,131,72,43,A
12220116,22,592,573,31,97,238,137,17,107,260,251,29,94,37,87,63,70,66,A
12080502,8,591,574,36,94,366,140,10,115,115,242,53,97,32,81,183,64,173,A
12080304,8,590,570,37,103,62,133,44,105,312,249,34,88,77,89,32,72,43,A
12090803,9,590,562,37,112,3,119,209,122,39,237,71,84,133,83,131,70,66,A
12230216,23,590,559,37,92,481,128,85,125,22,245,45,81,186,92,14,72,43,A
12090701,9,589,572,40,102,83,135,26,122,39,230,104,82,160,82,151,66,131,A
12150132,15,587,567,41,108,11,129,78,119,70,231,95,91,60,83,131,57,370,A
12280617,28,587,559,41,94,366,127,102,127,10,239,66,84,133,88,44,67,115,A
12090129,9,586,557,43,97,238,109,395,122,39,258,15,104,11,86,76,68,92,A
12260538,26,584,567,44,111,4,134,33,105,312,234,82,87,101,79,230,68,92,A
12200632,20,584,558,44,88,724,134,33,108,234,254,22,98,25,93,7,63,198,A
12090404,9,583,561,46,105,35,120,193,105,312,253,23,94,37,82,151,77,8,A
12091109,9,582,562,47,105,35,124,143,118,77,235,76,90,64,88,44,57,370,A
12100504,10,581,563,48,94,366,135,26,122,39,230,104,93,47,79,230,58,339,A
12060204,6,580,563,49,90,611,146,4,97,536,247,39,94,37,85,92,68,92,A
12140131,14,580,562,49,96,282,131,60,109,207,244,48,89,74,79,230,76,12,A
12280716,28,580,560,49,103,62,125,128,122,39,230,104,82,160,78,256,70,66,A
12080425,8,579,565,52,99,157,133,44,112,164,235,76,76,278,89,32,70,66,A
12080623,8,578,558,53,104,46,116,263,110,187,248,36,92,50,83,131,73,30,A
12080106,8,578,561,53,97,238,132,50,108,234,241,59,82,160,85,92,74,23,A
12090206,9,578,551,53,99,157,110,379,129,6,240,63,94,37,74,362,72,43,A
12040202,4,578,558,53,108,11,122,165,125,22,223,153,85,125,80,208,58,339,A
12170134,17,578,560,53,94,366,132,50,120,58,232,91,88,77,85,92,59,309,A
12060545,6,577,557,58,100,131,120,193,116,102,241,59,87,101,92,14,62,222,A
12260318,26,577,564,58,97,238,134,33,113,150,233,86,88,77,80,208,65,151,A
12280639,28,576,540,60,83,983,127,102,126,13,240,63,87,101,88,44,65,151,A
12100306,10,576,552,60,94,366,122,165,126,13,234,82,86,112,94,5,54,476,A
12030102,3,575,556,62,92,481,132,50,110,187,241,59,84,133,90,28,67,115,A
12060325,6,574,547,63,88,724,126,112,114,133,246,42,89,74,89,32,68,92,A
12090107,9,574,557,63,93,433,134,33,101,417,246,42,104,11,87,63,55,443,A
12080128,8,574,553,63,91,549,130,68,115,115,238,68,91,60,76,312,71,54,A
12170233,17,574,555,63,92,481,134,33,99,468,249,34,88,77,85,92,76,12,A
12040821,4,570,546,67,94,366,115,274,130,4,231,95,90,64,75,340,66,131,A
12091007,9,569,546,68,94,366,113,314,120,58,242,53,84,133,81,183,77,8,A
12090905,9,569,548,68,97,238,111,360,125,22,236,73,82,160,84,111,70,66,A
12180234,18,569,561,68,102,83,133,44,119,70,215,218,73,344,82,151,60,280,A
12090525,9,568,554,71,96,282,128,85,115,115,229,112,86,112,77,277,66,131,A
12081531,8,568,557,71,102,83,128,85,110,187,228,118,84,133,80,208,64,173,A
12080227,8,567,543,73,92,481,112,341,121,47,242,53,80,193,89,32,73,30,A
12090602,9,567,558,73,102,83,130,68,120,58,215,218,88,77,64,627,63,198,A
12050324,5,567,553,73,111,4,123,157,112,164,221,169,76,278,78,256,67,115,A
12030124,3,567,550,73,96,282,131,60,87,796,253,23,98,25,90,28,65,151,A
12200214,20,567,546,73,98,199,105,482,120,58,244,48,94,37,77,277,73,30,A
12220314,22,566,554,78,94,366,134,33,122,39,216,211,74,320,76,312,66,131,A
12050104,5,566,561,78,104,46,135,26,105,312,222,158,77,265,82,151,63,198,A
12090927,9,566,553,78,99,157,125,128,113,150,229,112,82,160,86,76,61,252,A
12080601,8,566,553,78,103,62,121,181,116,102,226,137,84,133,82,151,60,280,A
12090503,9,565,556,82,100,131,129,78,111,176,225,142,76,278,83,131,66,131,A
12090228,9,565,548,82,98,199,112,341,121,47,234,82,94,37,72,416,68,92,A
12160507,16,565,546,82,92,481,122,165,113,150,238,68,88,77,80,208,70,66,A
12080403,8,564,546,85,93,433,125,128,101,417,245,45,88,77,91,19,66,131,A
12081028,8,564,547,85,91,549,128,85,114,133,231,95,81,186,78,256,72,43,A
12100603,10,563,543,87,88,724,128,85,118,77,229,112,83,156,75,340,71,54,A
12270121,27,563,533,87,83,983,120,193,102,394,258,15,96,34,86,76,76,12,A
12090426,9,562,546,89,94,366,120,193,118,77,230,104,80,193,76,312,74,23,A
12100826,10,561,547,90,90,611,132,50,107,260,232,91,86,112,74,362,72,43,A
12100804,10,561,534,90,83,983,126,112,109,207,243,50,88,77,88,44,67,115,A
12160111,16,561,540,90,86,855,128,85,114,133,233,86,80,193,82,151,71,54,A
12100405,10,560,562,93,96,282,142,6,106,289,216,211,80,193,84,111,52,557,A
12250141,25,560,532,93,83,983,128,85,94,614,255,20,88,77,93,7,74,23,A
12100526,10,559,544,95,93,433,123,157,101,417,242,53,105,10,82,151,55,443,A
12081006,8,559,546,95,92,481,129,78,103,370,235,76,98,25,82,151,55,443,A
12091411,9,558,547,97,94,366,128,85,121,47,215,218,88,77,77,277,50,637,A
12050423,5,558,548,97,96,282,127,102,104,343,231,95,88,77,76,312,67,115,A
12200533,20,558,541,97,106,24,99,614,125,22,228,118,88,77,82,151,58,339,A
12030344,3,557,546,100,98,199,119,209,107,260,233,86,91,60,71,440,71,54,A
